0x00091360: aaa  ; call ebx ; 
0x00002f83: aaa  ; retn 0x793B ; 
0x00158390: aad 0x05 ; call dword [ebp-0x1A000FFA] ; 
0x0000251d: aad 0x80 ; retn 0x8A4C ; 
0x000a67fa: aad 0x83 ; ret  ; 
0x000df057: aad 0x96 ; jmp dword [esi-0x70] ; 
0x0011ebd7: aad 0xE6 ; call dword [eax+0x0026748D] ; 
0x0016b6d5: aad 0xEA ; call dword [eax+0x00000000] ; 
0x000af186: aad 0xEF ; call dword [eax-0x18] ; 
0x001662d1: aad 0xEF ; jmp dword [eax] ; 
0x001662c9: aad 0xEF ; jmp eax ; 
0x0010fcb3: aad 0xF1 ; jmp dword [esi-0x70] ; 
0x00167340: aad 0xF2 ; call dword [ebp+eax-0x2A5BFFFE] ; 
0x00167339: aad 0xF2 ; jmp dword [ebp+eax+0x02] ; 
0x0018fdc1: aad 0xF3 ; jmp dword [edx+0x01] ; 
0x00196ac9: aad 0xF4 ; jmp dword [ebx] ; 
0x001a857d: aad 0xF6 ; call dword [ecx] ; 
0x001a852d: aad 0xF6 ; jmp dword [eax+0x00] ; 
0x0003b394: aad 0xFA ; call dword [eax+0x68] ; 
0x0003b3a6: aad 0xFA ; call dword [eax-0x18] ; 
0x00032148: aad 0xFA ; call dword [eax-0x73] ; 
0x0016a2b1: aad 0xFA ; call dword [ecx+ebx-0x297BFFFC] ; 
0x000581d8: aad 0xFF ; call dword [eax+0x0026748D] ; 
0x00189e3c: aam 0x20 ; jmp dword [edi+0x00] ; 
0x0009dd40: aam 0x29 ; retn 0x3C8D ; 
0x0005a63b: aam 0x39 ; ret  ; 
0x001666b0: aam 0x40 ; jmp dword [esp+ecx*2+0x41D40001] ; 
0x001666b8: aam 0x41 ; call dword [eax] ; 
0x000a065b: aam 0x5B ; ret  ; 
0x00003264: aam 0x5C ; retn 0x52C0 ; 
0x0007cbb0: aam 0x83 ; ret  ; 
0x00166a48: aam 0xC7 ; jmp dword [esi+esi*2-0x381BFFFF] ; 
0x00167648: aam 0xD4 ; jmp dword [eax] ; 
0x0011f138: aam 0xE8 ; retn 0x0007 ; 
0x00045b96: aam 0xE9 ; ret  ; 
0x0016b5fd: aam 0xEA ; jmp dword [0x00000000] ; 
0x0016b5b1: aam 0xEA ; jmp dword [ecx] ; 
0x0016fd55: aam 0xEB ; call dword [eax+eax] ; 
0x0016fd35: aam 0xEB ; call dword [edx] ; 
0x00167320: aam 0xF2 ; call esp ; 
0x00167319: aam 0xF2 ; jmp dword [esp+eax-0x2B9BFFFE] ; 
0x00167649: aam 0xF3 ; jmp dword [eax] ; 
0x001a8379: aam 0xF6 ; jmp dword [ebx] ; 
0x00032c87: aam 0xFA ; call dword [eax-0x18] ; 
0x00183ff1: aam 0xFB ; call dword [ebx] ; 
0x00164b6d: aam 0xFC ; call dword [eax-0x0F00032B] ; 
0x00166691: aas  ; jmp eax ; 
0x0002349f: adc ah, bh ; call dword [eax-0x73] ; 
0x0007671d: adc al, 0x01 ; ret  ; 
0x000a66e3: adc al, 0x01 ; retn 0x048D ; 
0x0002d6a9: adc al, 0x01 ; retn 0xD189 ; 
0x000a111d: adc al, 0x01 ; retn 0xF889 ; 
0x000da058: adc al, 0x09 ; retn 0x4B74 ; 
0x00166458: adc al, 0x0B ; call esp ; 
0x00108f95: adc al, 0x24 ; call dword [eax+0x10] ; 
0x0018a06c: adc al, 0x24 ; jmp dword [edi] ; 
0x0011fb0e: adc al, 0x24 ; ret  ; 
0x0004781c: adc al, 0x29 ; ret  ; 
0x000eedeb: adc al, 0x29 ; retn 0xD789 ; 
0x000a67f4: adc al, 0x29 ; retn 0xF329 ; 
0x00047f5b: adc al, 0x39 ; ret  ; 
0x000685d5: adc al, 0x39 ; retn 0x850F ; 
0x0016b26f: adc al, 0x41 ; ret  ; 
0x0016b68a: adc al, 0x43 ; ret  ; 
0x0017476d: adc al, 0x44 ; ret  ; 
0x001666c8: adc al, 0x45 ; jmp dword [eax] ; 
0x001700e6: adc al, 0x45 ; ret  ; 
0x0016b897: adc al, 0x46 ; ret  ; 
0x00195e40: adc al, 0x47 ; ret  ; 
0x001883a7: adc al, 0x48 ; ret  ; 
0x001848b1: adc al, 0x4A ; ret  ; 
0x0018595f: adc al, 0x4B ; ret  ; 
0x001089b6: adc al, 0x50 ; call dword [edx] ; 
0x00062d2f: adc al, 0x50 ; call dword [esi+0x00000098] ; 
0x00114be2: adc al, 0x50 ; call dword [esp+0x40] ; 
0x00071506: adc al, 0x51 ; call eax ; 
0x000adb6a: adc al, 0x52 ; call eax ; 
0x001120b5: adc al, 0x53 ; call dword [eax+0x10] ; 
0x001092e8: adc al, 0x53 ; call dword [eax+0x14] ; 
0x001130c9: adc al, 0x53 ; call dword [eax] ; 
0x001093c3: adc al, 0x53 ; call dword [edx+0x10] ; 
0x00108509: adc al, 0x57 ; call dword [eax+0x04] ; 
0x00070ff6: adc al, 0x57 ; call eax ; 
0x000ac39c: adc al, 0x5B ; ret  ; 
0x000d6a29: adc al, 0x65 ; call dword [0x00000010] ; 
0x00166970: adc al, 0x81 ; jmp dword [eax] ; 
0x0009c513: adc al, 0x83 ; ret  ; 
0x000f0143: adc al, 0x83 ; retn 0x3901 ; 
0x0009b44c: adc al, 0x83 ; retn 0x83FF ; 
0x00090e43: adc al, 0x83 ; retn 0x8B04 ; 
0x0001e1a7: adc al, 0x89 ; ret  ; 
0x000bd5d7: adc al, 0x89 ; retn 0x448D ; 
0x0010431d: adc al, 0x89 ; retn 0x848B ; 
0x0011e9b4: adc al, 0x89 ; retn 0x895B ; 
0x0010371f: adc al, 0x89 ; retn 0xDA29 ; 
0x00096893: adc al, 0x89 ; retn 0xF889 ; 
0x000dd618: adc al, 0xB1 ; jmp dword [esi-0x70] ; 
0x00167528: adc al, 0xB7 ; jmp dword [eax+0x2E] ; 
0x0018f79c: adc al, 0xC5 ; jmp dword [eax] ; 
0x00002bd7: adc al, 0xE7 ; ret  ; 
0x000ccef7: adc al, 0xE8 ; ret  ; 
0x0002f0f3: adc al, 0xEB ; ret  ; 
0x0017ae99: adc al, 0xEF ; call dword [eax+0x00] ; 
0x0017aeb5: adc al, 0xEF ; call dword [ecx+0x00] ; 
0x0017ae49: adc al, 0xEF ; call dword [ecx] ; 
0x00114480: adc al, 0xF1 ; call dword [eax-0x73] ; 
0x0019fecd: adc al, 0xF6 ; call dword [ebp+0x00000000] ; 
0x0019ff6d: adc al, 0xF6 ; call dword [edx] ; 
0x0007331c: adc al, 0xF6 ; ret  ; 
0x001a9e75: adc al, 0xF7 ; call dword [ebx+0x00] ; 
0x000ead6a: adc al, 0xF7 ; retn 0xFF80 ; 
0x00143462: adc al, 0xF9 ; call dword [eax-0x01] ; 
0x0015b18c: adc al, 0xFFFFFFF6 ; jmp dword [eax-0x30] ; 
0x00048ca7: adc al, byte [ebp-0x76E38A2E] ; retn 0x542B ; 
0x000f493a: adc al, byte [ebx+esi*8] ; jmp dword [esi-0x70] ; 
0x000a21d8: adc al, ch ; retn 0xFFFA ; 
0x000900b5: adc al, dh ; ret  ; 
0x001858c0: adc bh, 0xFFFFFFF0 ; jmp dword [0x00000006] ; 
0x000e4ace: adc bh, bl ; call dword [eax-0x01] ; 
0x000e4991: adc bh, bl ; call dword [edx+0x50] ; 
0x00136ff5: adc bh, bl ; jmp dword [esi+0x0F] ; 
0x0017ac0d: adc bh, ch ; jmp dword [ebx] ; 
0x00169589: adc bh, cl ; jmp dword [eax+edi*2+0x03] ; 
0x000fd883: adc bh, dh ; retn 0x8080 ; 
0x000eaf66: adc bh, dh ; retn 0xFF80 ; 
0x000343cf: adc bl, 0xFFFFFFFA ; call dword [eax-0x18] ; 
0x0016a699: adc bl, bh ; jmp dword [eax+edi+0x11E40004] ; 
0x0006011a: adc bl, ch ; ret  ; 
0x00156f41: adc bl, dh ; call dword [eax+0x10] ; 
0x00156f49: adc bl, dh ; call dword [eax-0x4F000CF0] ; 
0x00156f58: adc bl, dh ; call dword [eax] ; 
0x00156f51: adc bl, dh ; call eax ; 
0x00156f39: adc bl, dh ; jmp dword [eax] ; 
0x000e15f5: adc bl, dh ; ret  ; 
0x00022ba4: adc byte [0x89127420], al ; retn 0x20BD ; 
0x000e79a6: adc byte [eax+0x00000015], bh ; call dword [0x00000010] ; 
0x000e7fdc: adc byte [eax+0x00000066], bh ; call dword [0x00000010] ; 
0x000e7896: adc byte [eax+0x00000080], bh ; call dword [0x00000010] ; 
0x000df960: adc byte [eax+0x0000008E], bh ; call dword [0x00000010] ; 
0x000e79e6: adc byte [eax+0x000000A3], bh ; call dword [0x00000010] ; 
0x000e7ac6: adc byte [eax+0x000000A7], bh ; call dword [0x00000010] ; 
0x000e7a86: adc byte [eax+0x000000AC], bh ; call dword [0x00000010] ; 
0x00119cc6: adc byte [eax+0x000000BC], bh ; call dword [0x00000010] ; 
0x00119d46: adc byte [eax+0x000000BD], bh ; call dword [0x00000010] ; 
0x000e5be6: adc byte [eax+0x000000E2], bh ; call dword [0x00000010] ; 
0x000e5b76: adc byte [eax+0x000000E3], bh ; call dword [0x00000010] ; 
0x000e5a46: adc byte [eax+0x000000E4], bh ; call dword [0x00000010] ; 
0x00124286: adc byte [eax+0x000000FA], bh ; call dword [0x00000010] ; 
0x000e782d: adc byte [eax+0x00000100], bh ; call dword [0x00000010] ; 
0x000e2e66: adc byte [eax+0x00000101], bh ; call dword [0x00000010] ; 
0x000d6e56: adc byte [eax+0x0000012A], bh ; call dword [0x00000010] ; 
0x000d7546: adc byte [eax+0x0000012F], bh ; call dword [0x00000010] ; 
0x000e7c1d: adc byte [eax+0x0000013B], bh ; call dword [0x00000010] ; 
0x000e7cdd: adc byte [eax+0x0000013C], bh ; call dword [0x00000010] ; 
0x000e7de6: adc byte [eax+0x00000155], bh ; call dword [0x00000010] ; 
0x0019b183: adc byte [eax+0x0A], bh ; ret  ; 
0x0019c336: adc byte [eax+0x0A], ch ; ret  ; 
0x0017de73: adc byte [eax+0x0A], dl ; ret  ; 
0x000446f8: adc byte [eax+0x56], dl ; call dword [ecx+0x1C] ; 
0x000ad906: adc byte [eax-0x11], 0xFFFFFFFA ; call dword [eax-0x18] ; 
0x00073a47: adc byte [eax-0x18], dl ; retn 0x0035 ; 
0x000900e5: adc byte [eax], ah ; ret  ; 
0x0000921e: adc byte [eax], al ; retn 0x0001 ; 
0x0012ea94: adc byte [eax], bh ; retn 0x840F ; 
0x00157118: adc byte [eax], ch ; jmp dword [eax] ; 
0x000900d5: adc byte [eax], dl ; ret  ; 
0x00173f1c: adc byte [ebp+0x0A], al ; ret  ; 
0x00175a31: adc byte [ebp+0x0A], bl ; ret  ; 
0x0009e6da: adc byte [ebp+0x29D975DB], al ; ret  ; 
0x0009e72e: adc byte [ebp+0x390974DB], al ; ret  ; 
0x0009e801: adc byte [ebp+0x390B74DB], al ; ret  ; 
0x000daf53: adc byte [ebp+0x393374C0], al ; ret  ; 
0x00029c34: adc byte [ebp+0x39FE0144], cl ; ret  ; 
0x0005f5ef: adc byte [ebp+0x53], dl ; call dword [eax+0x1C] ; 
0x000d5452: adc byte [ebp+0x6A1978C0], al ; call dword [edi-0x01] ; 
0x0002888c: adc byte [ebp-0x000BBF80], cl ; call dword [eax-0x75] ; 
0x00117f91: adc byte [ebp-0x04FB377D], cl ; call dword [eax-0x73] ; 
0x00163e94: adc byte [ebp-0x04], al ; jmp dword [eax+0x46] ; 
0x00164134: adc byte [ebp-0x04], ch ; jmp dword [eax+0x6E] ; 
0x000a6efb: adc byte [ebp-0x0510C37A], cl ; call dword [eax-0x73] ; 
0x00093ef6: adc byte [ebp-0x052AEF7D], cl ; call dword [eax+0x68] ; 
0x00093f2b: adc byte [ebp-0x052AEF7D], cl ; call dword [eax-0x73] ; 
0x00111a4a: adc byte [ebp-0x0535737D], cl ; call dword [eax-0x73] ; 
0x00117be7: adc byte [ebp-0x0538E779], cl ; call dword [eax-0x18] ; 
0x000d6feb: adc byte [ebp-0x054C4C7D], cl ; call dword [esi+0x55] ; 
0x000da842: adc byte [ebp-0x054C7E80], cl ; call dword [eax-0x77] ; 
0x0007447b: adc byte [ebp-0x0554297D], cl ; call dword [esi+0x6A] ; 
0x000ad8af: adc byte [ebp-0x05688D7A], cl ; call dword [eax-0x73] ; 
0x000f802c: adc byte [ebp-0x0586D780], cl ; call dword [eax-0x18] ; 
0x0014345e: adc byte [ebp-0x06EBEF7D], cl ; call dword [eax-0x01] ; 
0x001a38b0: adc byte [ebp-0x0A], dh ; jmp dword [eax+eax+0x00] ; 
0x000df783: adc byte [ebp-0x0CFD8B40], al ; ret  ; 
0x000911c9: adc byte [ebp-0x0C], dh ; rep ret  ; 
