0x00091360: aaa  ; call ebx ; 
0x00091406: aaa  ; call ebx ; 
0x00002f83: aaa  ; retn 0x793B ; 
0x00158390: aad 0x05 ; call dword [ebp-0x1A000FFA] ; 
0x0000251d: aad 0x80 ; retn 0x8A4C ; 
0x000a67fa: aad 0x83 ; ret  ; 
0x000df057: aad 0x96 ; jmp dword [esi-0x70] ; 
0x0011ebd7: aad 0xE6 ; call dword [eax+0x0026748D] ; 
0x0016b6d5: aad 0xEA ; call dword [eax+0x00000000] ; 
0x000af186: aad 0xEF ; call dword [eax-0x18] ; 
0x001662d1: aad 0xEF ; jmp dword [eax] ; 
0x001662c9: aad 0xEF ; jmp eax ; 
0x0010fcb3: aad 0xF1 ; jmp dword [esi-0x70] ; 
0x00167340: aad 0xF2 ; call dword [ebp+eax-0x2A5BFFFE] ; 
0x00167341: aad 0xF2 ; call dword [ebp+eax-0x2A5BFFFE] ; 
0x00167339: aad 0xF2 ; jmp dword [ebp+eax+0x02] ; 
0x0018fdc1: aad 0xF3 ; jmp dword [edx+0x01] ; 
0x00196ac9: aad 0xF4 ; jmp dword [ebx] ; 
0x001a857d: aad 0xF6 ; call dword [ecx] ; 
0x001a852d: aad 0xF6 ; jmp dword [eax+0x00] ; 
0x0003b394: aad 0xFA ; call dword [eax+0x68] ; 
0x0003b3b9: aad 0xFA ; call dword [eax+0x68] ; 
0x00093efa: aad 0xFA ; call dword [eax+0x68] ; 
0x00093f1d: aad 0xFA ; call dword [eax+0x68] ; 
0x00096c92: aad 0xFA ; call dword [eax+0x68] ; 
0x00096cb5: aad 0xFA ; call dword [eax+0x68] ; 
0x0009992a: aad 0xFA ; call dword [eax+0x68] ; 
0x0009994d: aad 0xFA ; call dword [eax+0x68] ; 
0x0003b3a6: aad 0xFA ; call dword [eax-0x18] ; 
0x0003b3a7: aad 0xFA ; call dword [eax-0x18] ; 
0x0003fef7: aad 0xFA ; call dword [eax-0x18] ; 
0x0004036c: aad 0xFA ; call dword [eax-0x18] ; 
0x00040bf3: aad 0xFA ; call dword [eax-0x18] ; 
0x0004442b: aad 0xFA ; call dword [eax-0x18] ; 
0x00049d87: aad 0xFA ; call dword [eax-0x18] ; 
0x0004a21c: aad 0xFA ; call dword [eax-0x18] ; 
0x0004a773: aad 0xFA ; call dword [eax-0x18] ; 
0x0004ea13: aad 0xFA ; call dword [eax-0x18] ; 
0x00032148: aad 0xFA ; call dword [eax-0x73] ; 
0x0003216b: aad 0xFA ; call dword [eax-0x73] ; 
0x0003218e: aad 0xFA ; call dword [eax-0x73] ; 
0x00032c74: aad 0xFA ; call dword [eax-0x73] ; 
0x00032eba: aad 0xFA ; call dword [eax-0x73] ; 
0x00032f95: aad 0xFA ; call dword [eax-0x73] ; 
0x00033b72: aad 0xFA ; call dword [eax-0x73] ; 
0x00034272: aad 0xFA ; call dword [eax-0x73] ; 
0x000342b9: aad 0xFA ; call dword [eax-0x73] ; 
0x000342f5: aad 0xFA ; call dword [eax-0x73] ; 
0x000343bd: aad 0xFA ; call dword [eax-0x73] ; 
0x000343e0: aad 0xFA ; call dword [eax-0x73] ; 
0x0003452b: aad 0xFA ; call dword [eax-0x73] ; 
0x000345b8: aad 0xFA ; call dword [eax-0x73] ; 
0x000345f4: aad 0xFA ; call dword [eax-0x73] ; 
0x00034617: aad 0xFA ; call dword [eax-0x73] ; 
0x0003463a: aad 0xFA ; call dword [eax-0x73] ; 
0x0003465d: aad 0xFA ; call dword [eax-0x73] ; 
0x00034ef8: aad 0xFA ; call dword [eax-0x73] ; 
0x00034f1b: aad 0xFA ; call dword [eax-0x73] ; 
0x00034f3e: aad 0xFA ; call dword [eax-0x73] ; 
0x00035a9e: aad 0xFA ; call dword [eax-0x73] ; 
0x00035ce5: aad 0xFA ; call dword [eax-0x73] ; 
0x00035dbf: aad 0xFA ; call dword [eax-0x73] ; 
0x0003684f: aad 0xFA ; call dword [eax-0x73] ; 
0x000370fb: aad 0xFA ; call dword [eax-0x73] ; 
0x0003711e: aad 0xFA ; call dword [eax-0x73] ; 
0x00037141: aad 0xFA ; call dword [eax-0x73] ; 
0x00037164: aad 0xFA ; call dword [eax-0x73] ; 
0x00037187: aad 0xFA ; call dword [eax-0x73] ; 
0x000371d9: aad 0xFA ; call dword [eax-0x73] ; 
0x000371fc: aad 0xFA ; call dword [eax-0x73] ; 
0x0003724d: aad 0xFA ; call dword [eax-0x73] ; 
0x00037270: aad 0xFA ; call dword [eax-0x73] ; 
0x00037405: aad 0xFA ; call dword [eax-0x73] ; 
0x0003759f: aad 0xFA ; call dword [eax-0x73] ; 
0x000375c2: aad 0xFA ; call dword [eax-0x73] ; 
0x00037f48: aad 0xFA ; call dword [eax-0x73] ; 
0x00037f6b: aad 0xFA ; call dword [eax-0x73] ; 
0x00037f8e: aad 0xFA ; call dword [eax-0x73] ; 
0x00038ace: aad 0xFA ; call dword [eax-0x73] ; 
0x00038d15: aad 0xFA ; call dword [eax-0x73] ; 
0x00038dfc: aad 0xFA ; call dword [eax-0x73] ; 
0x00039f76: aad 0xFA ; call dword [eax-0x73] ; 
0x0003a123: aad 0xFA ; call dword [eax-0x73] ; 
0x0003a146: aad 0xFA ; call dword [eax-0x73] ; 
0x0003a169: aad 0xFA ; call dword [eax-0x73] ; 
0x0003a18c: aad 0xFA ; call dword [eax-0x73] ; 
0x0003a46f: aad 0xFA ; call dword [eax-0x73] ; 
0x0003a539: aad 0xFA ; call dword [eax-0x73] ; 
0x0003a577: aad 0xFA ; call dword [eax-0x73] ; 
0x0003a59a: aad 0xFA ; call dword [eax-0x73] ; 
0x0003a5bd: aad 0xFA ; call dword [eax-0x73] ; 
0x0003a5e0: aad 0xFA ; call dword [eax-0x73] ; 
0x0003a617: aad 0xFA ; call dword [eax-0x73] ; 
0x00093f2f: aad 0xFA ; call dword [eax-0x73] ; 
0x00096cc7: aad 0xFA ; call dword [eax-0x73] ; 
0x0009995f: aad 0xFA ; call dword [eax-0x73] ; 
0x0016a2b1: aad 0xFA ; call dword [ecx+ebx-0x297BFFFC] ; 
0x000581d8: aad 0xFF ; call dword [eax+0x0026748D] ; 
0x00189e3c: aam 0x20 ; jmp dword [edi+0x00] ; 
0x0009dd40: aam 0x29 ; retn 0x3C8D ; 
0x0009de44: aam 0x29 ; retn 0x3C8D ; 
0x0005a63b: aam 0x39 ; ret  ; 
0x001666b0: aam 0x40 ; jmp dword [esp+ecx*2+0x41D40001] ; 
0x001666b8: aam 0x41 ; call dword [eax] ; 
0x000a065b: aam 0x5B ; ret  ; 
0x00003264: aam 0x5C ; retn 0x52C0 ; 
0x0007cbb0: aam 0x83 ; ret  ; 
0x00166a48: aam 0xC7 ; jmp dword [esi+esi*2-0x381BFFFF] ; 
0x00167648: aam 0xD4 ; jmp dword [eax] ; 
0x0011f138: aam 0xE8 ; retn 0x0007 ; 
0x00045b96: aam 0xE9 ; ret  ; 
0x0016b5fd: aam 0xEA ; jmp dword [0x00000000] ; 
0x0016b5b1: aam 0xEA ; jmp dword [ecx] ; 
0x0016b629: aam 0xEA ; jmp dword [ecx] ; 
0x0016fd55: aam 0xEB ; call dword [eax+eax] ; 
0x0016fd75: aam 0xEB ; call dword [eax+eax] ; 
0x0016fd95: aam 0xEB ; call dword [eax+eax] ; 
0x0016fd35: aam 0xEB ; call dword [edx] ; 
0x00167320: aam 0xF2 ; call esp ; 
0x00167321: aam 0xF2 ; call esp ; 
0x00167319: aam 0xF2 ; jmp dword [esp+eax-0x2B9BFFFE] ; 
0x00167649: aam 0xF3 ; jmp dword [eax] ; 
0x001a8379: aam 0xF6 ; jmp dword [ebx] ; 
0x00032c87: aam 0xFA ; call dword [eax-0x18] ; 
0x00032ecd: aam 0xFA ; call dword [eax-0x18] ; 
0x000345cb: aam 0xFA ; call dword [eax-0x18] ; 
0x00035ab1: aam 0xFA ; call dword [eax-0x18] ; 
0x00035cf8: aam 0xFA ; call dword [eax-0x18] ; 
0x00037154: aam 0xFA ; call dword [eax-0x18] ; 
0x00038ae1: aam 0xFA ; call dword [eax-0x18] ; 
0x00038d28: aam 0xFA ; call dword [eax-0x18] ; 
0x0003a62a: aam 0xFA ; call dword [eax-0x18] ; 
0x00095118: aam 0xFA ; call dword [eax-0x18] ; 
0x0009535e: aam 0xFA ; call dword [eax-0x18] ; 
0x00096945: aam 0xFA ; call dword [eax-0x18] ; 
0x00097e88: aam 0xFA ; call dword [eax-0x18] ; 
